bedrooms,bathrooms_group,log_sqft_living,log_lot,sqft_basement_cat,waterfront,view,condition,grade_categ,lat,long,zona,yr_renovated_catg,price_categ1
6,1,3.7573960287930244,4.009153331907709,1,0,0,3,2,47.5464,-122.116,2,0,C1
3,1,3.3560258571931225,4.133219456732494,1,0,0,4,1,47.2099,-122.001,1,0,B1
3,1,3.361727836017593,3.7403626894942437,1,0,0,4,1,47.5785,-122.293,1,0,B1
3,0,2.9242792860618816,3.9278834103307068,0,0,0,4,1,47.3275,-122.338,1,0,B1
4,0,3.4149733479708178,4.613217934199054,0,0,0,4,1,47.6634,-122.172,2,0,C1
3,0,3.2833012287035497,3.5185139398778875,1,0,0,4,1,47.6239,-122.298,2,0,C1
3,0,3.146128035678238,4.018076063645795,0,0,0,4,1,47.2738,-122.301,1,0,B1
4,1,3.622214022966295,4.590083553256622,1,0,0,4,1,47.6472,-122.157,2,0,C1
4,0,3.294466226161593,3.8115750058705933,1,0,0,5,1,47.5511,-122.312,1,0,B1
4,0,3.3384564936046046,4.3592661646067485,1,0,0,4,1,47.3187,-122.081,1,1,B1
3,0,3.255272505103306,3.7558748556724915,1,0,0,4,1,47.6491,-122.367,2,0,C1
4,0,3.367355921026019,3.7958800173440754,1,0,0,4,1,47.3782,-122.228,1,0,B1
4,1,3.278753600952829,3.8573324964312685,1,0,0,3,1,47.5033,-122.372,1,0,B1
4,1,3.419955748489758,3.730701544281845,0,0,0,3,1,47.4977,-122.163,1,0,B1
3,0,3.278753600952829,4.009663316679379,1,0,0,4,1,47.4781,-122.357,1,0,B1
3,1,3.12057393120585,3.4983105537896004,0,0,0,3,1,47.5328,-122.282,1,0,B1
2,0,2.8512583487190755,3.709269960975831,0,0,0,3,1,47.5224,-122.357,1,0,B1
2,0,3.0043213737826426,3.887561040930009,0,0,0,3,1,47.5128,-122.189,1,0,B1
4,1,3.4216039268698313,3.8750612633917,1,0,0,3,1,47.3135,-122.369,1,0,B1
4,0,3.1958996524092336,3.8836614351536176,1,0,0,3,1,47.6801,-122.106,2,0,B1
5,1,3.3384564936046046,3.892817824309576,0,0,0,3,1,47.3651,-122.051,1,0,B1
3,1,3.1522883443830563,4.129303107716051,1,0,0,3,1,47.6693,-122.176,2,0,B1
5,1,3.6074550232146687,4.274781122605907,1,0,2,4,2,47.5323,-122.237,2,0,C1
2,0,3.271841606536499,3.7466341989375787,0,0,0,3,1,47.7101,-122.031,2,0,B1
4,0,3.1903316981702914,3.8609366207000937,0,0,0,4,1,47.6229,-122.121,2,0,B1
3,1,3.326335860928751,3.9846623061901068,0,0,0,3,1,47.3843,-122.213,1,0,B1
4,0,3.0791812460476247,4.045753147594141,0,0,0,3,1,47.7529,-122.306,1,0,B1
4,1,3.66838591669,3.8547310172139424,1,0,0,3,1,47.5352,-122.156,1,0,C1
3,0,3.290034611362518,3.939419403329317,0,0,0,3,1,47.39,-122.153,1,0,B1
4,1,3.6748611407378116,4.680063427481948,1,1,4,3,2,47.6967,-122.216,2,0,C1
3,1,3.5781806096277777,4.5802176740961285,1,1,4,3,1,47.3907,-122.448,1,1,C1
2,0,3.271841606536499,3.797613730153076,0,0,0,3,1,47.7108,-122.031,2,0,B1
3,0,3.041392685158225,4.2388987922278405,0,0,0,3,1,47.3003,-122.27,1,0,B1
2,0,2.963787827345555,3.7014816356209272,0,0,0,4,1,47.6726,-122.265,2,0,B1
2,0,2.9822712330395684,3.7958800173440754,1,0,0,4,1,47.5378,-122.375,1,0,B1
3,1,3.346352974450639,3.6989700043360187,0,0,0,3,1,47.5515,-122.324,1,0,B1
5,0,3.285557309007774,3.988870966064645,1,0,0,4,1,47.7743,-122.235,1,0,B1
3,0,3.225309281725863,4.240773825284193,0,0,0,3,1,47.6766,-122.176,2,0,B1
5,1,3.6711728427150834,3.9142373477677412,1,0,0,3,1,47.6321,-122.304,2,0,C1
3,1,3.322219294733919,4.146964796989748,0,0,0,3,1,47.3833,-122.1,1,0,B1
3,1,3.7234556720351857,5.35110413004164,1,0,0,4,2,47.6671,-122.051,2,0,C1
3,1,3.598790506763115,4.396548037987132,1,0,2,3,2,47.7183,-122.258,1,1,C1
6,1,3.462397997898956,3.806179973983887,1,0,0,4,1,47.6464,-122.401,2,0,C1
3,0,3.0569048513364727,4.013679697291193,0,0,0,4,1,47.7168,-122.196,1,0,B1
4,1,3.251638220448212,3.4068806700491248,0,0,0,3,1,47.3582,-122.2,1,0,B1
4,1,3.419955748489758,3.755951041004132,0,0,0,3,1,47.375,-122.16,1,0,B1
3,1,3.2121876044039577,4.021189299069938,1,0,0,3,1,47.7176,-122.236,1,0,B1
3,0,3.1335389083702174,3.79140991566716,1,0,0,4,1,47.7503,-122.334,1,0,B1
4,1,3.4742162640762553,3.802705327074352,0,0,3,3,1,47.6819,-122.208,2,0,C1
4,1,3.456366033129043,4.605132587295637,0,0,0,3,2,47.7308,-122.115,2,0,C1
3,1,3.1789769472931693,3.7781512503836434,1,0,0,4,1,47.3484,-122.036,1,0,B1
4,1,3.546542663478131,3.6897526961391565,1,0,0,3,1,47.6678,-122.361,2,0,C1
4,1,3.2671717284030137,3.998956440470486,0,0,0,3,1,47.5059,-122.149,1,0,B1
4,1,3.287801729930226,3.9611362173872253,1,0,0,4,1,47.5942,-122.135,2,0,B1
4,1,3.437750562820388,4.204309944940537,0,0,0,3,1,47.6353,-122.229,2,0,C1
3,1,3.2405492482826,4.034868996361131,1,0,0,3,1,47.3976,-122.166,1,0,B1
4,1,3.515873843711679,4.3881012015705165,0,0,0,3,2,47.7073,-122.07,2,0,C1
3,0,3.220108088040055,4.049218022670182,0,0,0,3,1,47.5121,-122.168,1,0,B1
4,0,3.271841606536499,3.937668314399005,0,0,0,5,1,47.7366,-122.35,1,0,B1
4,1,3.3201462861110542,4.150480122270334,1,0,0,4,1,47.4333,-122.347,1,0,B1
3,0,3.0211892990699383,3.7671558660821804,0,0,0,3,1,47.4574,-122.358,1,0,B1
4,1,3.6522463410033232,4.393873404149383,1,0,2,3,2,47.5544,-122.147,2,0,C1
4,0,3.2329961103921536,3.588271706842329,0,0,0,4,1,47.6086,-122.294,2,0,B1
2,1,3.100370545117563,3.053462604925455,0,0,0,3,1,47.6715,-122.384,2,0,B1
4,1,3.482873583608754,3.6989700043360187,1,0,3,4,1,47.6565,-122.278,2,0,C1
2,0,2.9867717342662448,3.948119424380536,0,0,0,3,1,47.4943,-122.178,1,0,B1
4,1,3.3242824552976926,4.102193508039743,0,0,0,4,1,47.536,-122.225,2,0,C1
3,1,3.305351369446624,4.031165999660659,1,0,0,5,1,47.4403,-122.343,1,0,B1
4,1,3.2600713879850747,4.05403821068487,1,0,0,3,1,47.4574,-122.361,1,0,B1
3,1,3.3201462861110542,3.8827521556130797,1,0,0,3,1,47.7408,-121.974,1,0,B1
3,1,3.392696953259666,4.013721778051063,0,0,0,3,1,47.6694,-122.141,2,0,C1
4,0,3.3820170425748683,3.7781512503836434,0,0,0,3,1,47.6369,-122.355,2,0,C1
5,0,3.437750562820388,3.91539983521227,1,0,0,3,1,47.7352,-122.297,1,0,B1
4,1,3.359835482339888,3.7283537820212285,1,0,0,4,1,47.6428,-122.411,2,0,C1
3,1,3.1789769472931693,3.863322860120456,1,0,0,3,1,47.7153,-122.211,1,0,B1
3,0,3.2648178230095364,4.290056882303365,1,0,0,4,1,47.3364,-122.318,1,0,B1
2,0,3.0718820073061255,3.8573324964312685,0,0,0,4,1,47.7475,-122.342,1,0,B1
3,1,3.419955748489758,4.110556042755381,0,0,0,4,1,47.5479,-122.233,2,0,C1
3,1,3.0718820073061255,4.154058610376971,0,0,0,3,1,47.7112,-122.238,1,0,B1
3,0,3.093421685162235,3.946452265013073,0,0,0,3,1,47.7277,-122.308,1,0,B1
4,1,3.432969290874406,4.5441797057183475,0,0,2,3,1,47.4815,-121.714,1,0,B1
2,0,3.103803720955957,3.1458177144918276,0,0,0,3,1,47.5552,-122.381,2,0,B1
4,1,3.5575072019056577,4.1075830311913215,0,0,0,3,2,47.5812,-121.993,2,0,C1
1,0,3.03342375548695,3.509202522331103,0,0,0,3,1,47.3075,-122.217,1,0,B1
4,0,3.290034611362518,4.128399268717806,0,0,0,4,1,47.5232,-121.821,2,0,B1
3,0,3.1702617153949575,3.803457115648414,0,0,0,3,1,47.7311,-122.353,1,0,B1
4,1,3.3944516808262164,3.9326259440217823,0,0,0,3,1,47.381,-122.033,1,0,B1
3,0,3.322219294733919,4.861803148214179,0,0,0,4,1,47.7479,-122.062,2,0,C1
7,1,3.6324572921847245,4.575268690098512,0,0,0,5,2,47.4812,-122.033,2,0,C1
4,1,3.307496037913213,4.1303337684950066,1,0,0,3,1,47.4596,-122.066,1,0,B1
4,0,3.1522883443830563,3.7781512503836434,0,0,0,3,1,47.6844,-122.302,2,0,B1
6,1,3.4800069429571505,4.121789568859296,1,1,4,3,1,47.5924,-122.287,1,1,C1
4,1,3.4683473304121573,4.46259263800925,0,0,0,3,2,47.7635,-122.044,2,0,B1
2,0,2.9444826721501687,3.505149978319906,0,0,0,3,1,47.6575,-122.402,2,1,B1
3,0,3.2174839442139063,3.9242792860618816,1,0,0,3,1,47.5766,-122.236,2,0,C1
4,1,3.4983105537896004,3.7906369619317033,0,0,0,3,1,47.5966,-122.017,2,0,C1
6,1,3.4785664955938436,3.639486489268586,1,0,0,3,1,47.6873,-122.333,2,0,C1
3,1,3.436162647040756,3.972573080926555,1,0,0,3,1,47.3785,-122.185,1,0,B1
4,1,3.525044807036845,4.466007072774867,0,0,0,3,2,47.7197,-122.131,2,0,C1
3,1,3.5538830266438746,4.981510551905943,0,0,0,3,1,47.4239,-122.015,1,0,C1
3,1,3.3944516808262164,3.942256150419465,0,0,0,3,1,47.4543,-122.125,1,0,B1
5,1,3.3729120029701067,4.05595140532915,1,0,0,4,1,47.4875,-122.255,1,0,B1
3,0,3.0863598306747484,3.7781512503836434,0,0,0,5,1,47.2811,-122.214,1,0,B1
4,1,3.446070935701005,3.7561033715851058,0,0,0,3,1,47.3682,-122.178,1,0,B1
5,1,3.6201360549737576,4.522574632691176,0,0,0,4,2,47.5455,-122.126,2,0,C1
4,0,3.2528530309798933,4.008600171761918,1,0,0,4,1,47.3774,-122.225,1,0,B1
4,1,3.437750562820388,3.879153246184246,0,0,0,3,1,47.6962,-122.179,2,0,C1
3,0,3.3729120029701067,3.7888044930446485,1,0,3,3,1,47.5433,-122.384,2,1,C1
3,1,3.4345689040341987,4.076895193866051,0,0,0,3,1,47.4185,-122.212,1,0,B1
4,1,3.4927603890268375,3.834357112718405,0,0,0,3,1,47.4349,-122.328,1,0,B1
4,1,3.3443922736851106,3.9085386321719593,0,0,0,3,1,47.6475,-122.07,2,0,B1
3,0,3.089905111439398,3.980821166644336,0,0,0,5,1,47.539,-122.179,1,0,B1
4,0,3.1931245983544616,4.495530462101731,0,0,0,4,1,47.3384,-122.164,1,0,B1
2,0,2.7781512503836434,3.7867514221455614,0,0,0,3,1,47.5,-122.317,1,1,B1
4,1,3.322219294733919,3.8594985581877763,1,0,0,3,1,47.7267,-122.232,1,0,B1
3,0,3.278753600952829,3.823474229170301,1,0,0,5,1,47.3594,-122.054,1,0,B1
1,0,3.060697840353612,3.991757539534348,0,0,0,4,1,47.2951,-122.284,1,0,B1
3,1,3.230448921378274,3.4471580313422194,1,0,0,5,1,47.6819,-122.311,2,0,B1
4,1,3.509202522331103,4.08278537031645,1,0,0,3,1,47.562,-122.146,2,0,C1
5,0,3.2528530309798933,3.970114322285097,0,0,0,5,1,47.5945,-122.201,2,0,C1
3,1,3.2477278329097232,3.864748335629659,0,0,0,3,1,47.3307,-122.188,1,0,B1
3,0,3.0043213737826426,3.9965116721541785,0,0,0,3,1,47.3238,-122.14,1,0,B1
3,0,3.155336037465062,4.0704442499729465,0,0,0,4,1,47.6686,-122.157,2,0,B1
3,0,3.123851640967086,3.936312633662193,0,0,0,4,1,47.7289,-122.203,1,0,B1
4,1,3.281941933440825,3.4983105537896004,0,0,0,3,1,47.43,-122.188,1,0,B1
4,1,3.383815365980431,4.008600171761918,0,0,0,4,1,47.5336,-122.225,2,0,C1
4,1,3.5622928644564746,3.9218944709291024,1,1,4,3,1,47.6338,-122.072,2,0,C1
4,1,3.41161970596323,3.982316469692065,1,0,0,4,1,47.3726,-122.433,1,0,B1
3,0,3.2227164711475833,3.838849090737255,1,0,0,3,1,47.2975,-122.38,1,0,B1
4,0,3.27415784926368,3.9822712330395684,1,0,0,5,1,47.2633,-122.281,1,0,B1
2,0,3.0644579892269186,3.7319914490189294,1,0,0,3,1,47.7007,-122.354,2,0,B1
5,1,3.4885507165004443,3.7598188773748262,0,0,0,3,1,47.4922,-122.153,1,0,B1
3,1,3.296665190261531,3.4952667443878105,1,0,0,3,1,47.5456,-122.016,2,0,B1
3,1,3.1172712956557644,4.108057373783854,0,0,0,3,1,47.4515,-122.368,1,1,B1
4,1,3.0644579892269186,4.204337075628155,0,0,0,4,1,47.7643,-122.295,1,0,B1
2,0,3.0293837776852097,3.092018470752797,1,0,0,3,1,47.5619,-122.382,2,0,B1
3,1,3.2600713879850747,4.998921611930277,0,0,0,4,1,47.2838,-122.006,1,0,B1
3,0,3.24551266781415,3.784759894664005,0,0,0,3,1,47.3838,-122.184,1,0,B1
3,1,3.4099331233312946,3.6989700043360187,0,0,0,3,2,47.6295,-122.32,2,0,C1
3,1,3.1367205671564067,2.9614210940664485,1,0,0,3,1,47.5639,-122.388,2,0,B1
4,1,3.4653828514484184,4.508112056839824,0,0,0,5,2,47.7439,-122.041,2,0,C1
4,1,3.380211241711606,4.46615556475221,0,0,0,4,1,47.743,-122.131,2,0,B1
3,1,3.311753861055754,3.6216954623292787,0,0,0,3,1,47.6922,-122.371,2,0,C1
2,0,3.290034611362518,3.4344092075875,1,0,0,5,1,47.6513,-122.346,2,0,C1
3,1,3.1986570869544226,3.172310968521954,0,0,0,3,1,47.6514,-122.386,2,0,B1
2,0,2.792391689498254,4.170936108609079,0,0,0,3,1,47.7322,-122.3,1,0,B1
3,0,3.1789769472931693,3.7781512503836434,1,0,0,3,1,47.5168,-122.285,1,0,B1
4,0,3.1492191126553797,3.8860957324377474,0,0,0,4,1,47.7604,-122.331,1,0,B1
3,0,2.9912260756924947,3.959756672990995,0,0,0,3,1,47.3737,-122.312,1,0,B1
4,1,3.5118833609788744,3.8409212001987716,0,0,0,3,1,47.4956,-122.151,1,0,B1
3,0,3.1522883443830563,3.909876817990393,0,0,0,3,1,47.3871,-122.189,1,0,B1
4,0,3.0043213737826426,3.875928984922927,0,0,0,4,1,47.4174,-122.316,1,0,B1
2,0,2.9190780923760737,3.450249108319361,0,0,0,4,1,47.689,-122.347,2,0,B1
4,1,3.230448921378274,3.824451270036613,0,0,0,3,1,47.3638,-122.053,1,0,B1
2,0,2.99563519459755,3.751510050270041,1,0,0,3,1,47.6802,-122.298,2,0,B1
3,0,3.2095150145426308,3.9367649976099415,1,0,0,3,1,47.6651,-122.151,2,0,B1
3,1,3.428134794028789,3.7401257369657306,0,0,0,3,1,47.7043,-122.128,2,0,C1
5,1,3.406540180433955,3.963787827345555,1,0,0,4,1,47.4673,-122.363,1,0,B1
3,0,3.146128035678238,3.7781512503836434,1,0,0,4,1,47.5283,-122.321,1,0,B1
4,1,3.4345689040341987,3.57978359661681,1,0,0,5,1,47.6756,-122.306,2,0,C1
3,1,3.510545010206612,3.8573324964312685,1,0,2,3,1,47.567,-122.273,1,0,C1
4,0,3.173186268412274,3.651762447380111,1,0,0,3,1,47.6388,-122.399,2,0,B1
6,1,3.3384564936046046,3.900694774452398,0,0,0,3,1,47.3054,-122.305,1,0,B1
4,1,3.3344537511509307,3.6532125137753435,0,0,0,3,1,47.4819,-122.182,1,0,B1
3,0,3.0644579892269186,4.021933166477439,0,0,0,3,1,47.7343,-122.22,1,0,B1
2,0,3.161368002234975,3.6020599913279625,1,0,0,4,1,47.6571,-122.326,2,0,B1
4,1,3.3979400086720375,4.108835527934605,1,0,1,3,1,47.3364,-122.321,1,0,B1
3,1,3.2600713879850747,3.977266212427293,0,0,0,3,1,47.7481,-122.178,1,0,B1
1,0,2.724275869600789,3.8027737252919755,0,0,0,5,1,47.6946,-122.357,2,0,B1
4,1,3.5390760987927767,4.054995861529141,1,0,4,4,1,47.568,-122.153,2,0,C1
2,0,2.9444826721501687,3.8024316264307236,0,0,0,3,1,47.5341,-122.358,1,0,B1
4,1,3.5224442335063197,3.9542425094393248,1,0,0,3,1,47.6836,-122.208,2,0,C1
4,1,3.3502480183341627,3.9995654882259823,0,0,0,4,2,47.5516,-122.217,2,0,C1
5,1,3.4871383754771865,3.99140330258004,1,0,0,4,1,47.5702,-122.128,2,0,C1
2,0,3.0569048513364727,4.875824949832741,0,0,0,3,1,47.7349,-122.074,2,0,B1
3,1,3.3961993470957363,3.434888120867316,1,0,0,3,1,47.5893,-122.165,2,0,B1
4,1,3.5440680443502757,4.1285285037974395,1,0,0,3,2,47.5468,-122.231,2,0,C1
3,1,3.1728946977521764,3.4471580313422194,0,0,0,3,1,47.3454,-122.214,1,0,B1
4,0,3.292256071356476,4.975546686034574,0,0,0,3,1,47.5418,-121.962,2,0,B1
4,1,3.2329961103921536,3.6989700043360187,1,0,0,3,1,47.6772,-122.285,2,0,B1
4,1,3.3324384599156054,3.9921114877869495,1,0,0,4,1,47.7758,-122.2,1,0,B1
4,0,3.3010299956639813,3.571475903681944,1,0,0,4,1,47.643,-122.299,2,0,C1
3,1,3.3384564936046046,3.5685537120494426,0,0,0,3,1,47.776,-122.169,1,0,B1
4,1,3.645422269349092,3.7737864449811935,1,0,0,3,2,47.5397,-122.072,2,0,C1
5,1,3.7126497016272113,4.646550753640342,0,0,0,3,2,47.6568,-122.154,2,0,C1
3,0,3.296665190261531,3.8095597146352675,1,0,0,4,1,47.5291,-122.356,1,0,B1
2,0,3.0827853703164503,3.090610707828407,0,0,0,3,1,47.6712,-122.39,2,0,B1
4,0,3.0253058652647704,3.8573324964312685,1,0,1,3,1,47.5591,-122.268,1,0,B1
5,1,3.484299839346786,3.8750612633917,1,0,0,4,1,47.7249,-122.187,1,0,B1
3,1,3.383815365980431,3.9472376078706666,1,0,3,3,1,47.5405,-122.263,1,0,C1
3,0,2.9731278535996988,4.015694988526518,0,0,0,3,1,47.6608,-122.133,2,0,B1
4,1,3.406540180433955,3.9456654994321343,0,0,0,3,1,47.3979,-122.212,1,0,B1
3,0,3.0453229787866576,3.845098040014257,0,0,0,4,1,47.754,-122.341,1,0,B1
5,1,3.6074550232146687,4.1301728888925355,1,0,2,4,1,47.4384,-122.352,1,0,C1
3,1,3.2624510897304293,3.904282657645628,0,0,0,3,1,47.6198,-122.044,2,0,B1
4,1,3.456366033129043,4.062393937253195,1,0,0,4,1,47.588,-122.168,2,0,C1
2,0,3.1760912590556813,3.534026106056135,0,0,0,3,1,47.661,-122.338,2,0,B1
3,0,3.383815365980431,3.9444826721501687,1,0,0,4,1,47.4322,-122.291,1,0,B1
3,0,3.060697840353612,3.7781512503836434,0,0,0,3,1,47.4963,-121.787,1,0,B1
3,0,3.1172712956557644,3.4765418090274287,0,0,0,3,1,47.5879,-122.299,1,0,B1
3,1,3.2041199826559246,3.117602691690084,0,0,0,3,1,47.6903,-122.394,2,0,B1
3,1,3.326335860928751,3.99140330258004,0,0,0,3,1,47.3596,-122.16,1,0,B1
4,1,3.380211241711606,3.7283537820212285,1,0,0,4,1,47.6763,-122.37,2,0,B1
5,0,3.3010299956639813,4.010554351540322,1,0,2,3,1,47.5084,-122.246,1,0,B1
3,1,3.1760912590556813,3.857935264719429,1,0,0,3,1,47.3124,-122.352,1,0,B1
3,0,3.367355921026019,4.212187604403958,0,0,0,3,1,47.7037,-122.24,1,0,C1
3,1,3.509202522331103,3.9811841373983543,0,0,0,4,1,47.7307,-122.183,1,0,B1
3,0,3.1818435879447726,3.749581734865559,1,0,0,3,1,47.68,-122.284,2,0,B1
2,0,3.1072099696478683,3.7781512503836434,0,0,0,3,1,47.6339,-122.282,2,0,B1
4,1,3.6085260335771943,4.721868297555803,0,0,0,4,1,47.7615,-122.041,2,0,C1
4,1,3.247973266361807,3.6989700043360187,0,0,0,3,1,47.3506,-122.006,1,0,B1
3,0,3.3180633349627615,3.9619902874400648,1,0,0,3,1,47.5846,-122.168,2,0,B1
3,0,3.3521825181113627,3.4734869700645685,1,0,0,4,1,47.6289,-122.309,2,0,C1
3,0,3.113943352306837,3.929418925714293,0,0,0,4,1,47.209,-122.005,1,0,B1
